Host,Host_agg
Pisum sativum,Fabaceae
Gymnanthemum amygdalinum,Asteraceae
Saccharum officinarum,Poaceae
Abelmoschus esculentus,Malvaceae
Eustoma grandiflorum,Gentianaceae
Wissadula,Malvaceae
Macroptilium lathyroides,Fabaceae
Sida urens,Malvaceae
Sida acuta,Malvaceae
Malvastrum,Malvaceae
Eclipta prostrata,Asteraceae
Senna occidentalis,Fabaceae
Boehmeria,Urticaceae
Deinbollia borbonica,Sapindaceae
Brassica rapa var. rapa,Brassicaceae
Andrographis paniculata,Acanthaceae
Melochia,Malvaceae
Catharanthus roseus,Apocynaceae
Medicago sativa,Fabaceae
Alcea,Malvaceae
Morus,Moraceae
Oxalis debilis,Oxalidaceae
Coccinia grandis,Cucurbitaceae
Rosa,Rosaceae
Solanum,Solanaceae
Allamanda cathartica,Apocynaceae
Jatropha gossypiifolia,Euphorbiaceae
Spinacia oleracea,Amaranthaceae
Corchorus olitorius,Malvaceae
Dalechampia,Euphorbiaceae
Datura stramonium,Solanaceae
Paspalum dilatatum,Poaceae
Glycine max,Fabaceae
Triticum aestivum,Poaceae
Centrosema brasilianum,Fabaceae
Capsicum annuum var. annuum,Solanaceae
Cleome affinis,Cleomaceae
Eragrostis minor,Poaceae
Distimake quinquefolius,Convolvulaceae
Cleome,Cleomaceae
Abutilon,Malvaceae
Ipomoea setosa,Convolvulaceae
Rhynchosia,Fabaceae
Bromus catharticus,Poaceae
Digitaria didactyla,Poaceae
Brassica rapa,Brassicaceae
Croton glandulosus,Euphorbiaceae
Saccharum,Poaceae
Passiflora edulis f. flavicarpa,Passifloraceae
Eragrostis curvula,Poaceae
Gossypium darwinii,Malvaceae
Jatropha,Euphorbiaceae
Blainvillea rhomboidea,Asteraceae
Wissadula amplissima,Malvaceae
Avena sativa,Poaceae
Capsicum annuum,Solanaceae
Beta vulgaris subsp. vulgaris,Amaranthaceae
Raphanus sativus,Brassicaceae
Capsicum frutescens,Solanaceae
Crassocephalum crepidioides,Asteraceae
Desmodium glabrum,Fabaceae
Sigesbeckia glabrescens,Asteraceae
Euphorbia heterophylla,Euphorbiaceae
Cyanthillium cinereum,Asteraceae
Ageratum conyzoides,Asteraceae
Cucurbita moschata,Cucurbitaceae
Lonicera japonica,Caprifoliaceae
Nicotiana benthamiana,Solanaceae
Luffa acutangula,Cucurbitaceae
Manihot esculenta,Euphorbiaceae
Croton bonplandianus,Euphorbiaceae
Stachytarpheta jamaicensis,Verbenaceae
Cucurbita,Cucurbitaceae
Citrullus lanatus subsp. vulgaris,Cucurbitaceae
Solanum nigrum,Solanaceae
Crocus sativus,Iridaceae
Beta vulgaris,Amaranthaceae
Melochia tomentosa,Malvaceae
Ageratum,Asteraceae
Cucurbita maxima,Cucurbitaceae
Cenchrus echinatus,Poaceae
Cucumis melo,Cucurbitaceae
Vitis vinifera,Vitaceae
Cajanus cajan,Fabaceae
Melia dubia,Meliaceae
Echinochloa,Poaceae
Oryza sativa,Poaceae
Poaceae,Poaceae
Cucumis anguria,Cucurbitaceae
Citrullus lanatus,Cucurbitaceae
Alternanthera,Amaranthaceae
Mentha longifolia,Lamiaceae
Malva parviflora,Malvaceae
Vigna mungo,Fabaceae
Senecio scandens,Asteraceae
Luffa aegyptiaca,Cucurbitaceae
Leucanthemum vulgare,Asteraceae
Muntingia calabura,Muntingiaceae
Bemisia tabaci,Aleyrodidae
Chrysanthemum indicum,Asteraceae
Cenchrus purpureus,Poaceae
Urochloa decumbens,Poaceae
Macrotyloma uniflorum,Fabaceae
Mangifera indica,Anacardiaceae
Vigna radiata,Fabaceae
Luffa,Cucurbitaceae
Lathyrus aphaca,Fabaceae
Syngonium,Araceae
Passiflora caerulea,Passifloraceae
Helianthus,Asteraceae
Cucurbita pepo,Cucurbitaceae
Citharexylum spinosum,Verbenaceae
Ocimum basilicum,Lamiaceae
Lens culinaris,Fabaceae
Cucurbita pepo var. melopepo,Cucurbitaceae
Hibiscus rosa-sinensis,Malvaceae
Lagenaria siceraria,Cucurbitaceae
Salvia hispanica,Lamiaceae
Cynodon dactylon,Poaceae
Digitaria ciliaris,Poaceae
Chloris gayana,Poaceae
Brachiaria umbellata,Poaceae
Digitaria debilis,Poaceae
Eragrostis,Poaceae
Dactyloctenium,Poaceae
Vicia faba,Fabaceae
Euphorbia,Euphorbiaceae
Dracocephalum moldavica,Lamiaceae
Trichosanthes cucumerina,Cucurbitaceae
Parthenium hysterophorus,Asteraceae
Morella rubra,Myricaceae
Broussonetia papyrifera,Moraceae
Vigna aconitifolia,Fabaceae
Trigonella foenum-graecum,Fabaceae
Sicyos edulis,Cucurbitaceae
Hibiscus,Malvaceae
Centrosema pubescens,Fabaceae
Solanum melongena,Solanaceae
Vitis,Vitaceae
Daucus carota,Apiaceae
Cajanus scarabaeoides,Fabaceae
Ocimum kilimandscharicum,Lamiaceae
Withania somnifera,Solanaceae
Pongamia pinnata,Fabaceae
Sida cordata,Malvaceae
Cestrum nocturnum,Solanaceae
Piperaceae,Piperaceae
Vitis sp.,Vitaceae
Benincasa hispida,Cucurbitaceae
Salvia splendens,Lamiaceae
Fabaceae,Fabaceae
Azadirachta indica,Meliaceae
Datura,Solanaceae
Lablab purpureus,Fabaceae
Siraitia grosvenorii,Cucurbitaceae
Pachyrhizus,Fabaceae
Dioscorea alata,Dioscoreaceae
Solanum torvum,Solanaceae
Clerodendrum bungei,Lamiaceae
Galium mexicanum,Rubiaceae
Citrus maxima,Rutaceae
Fraxinus chinensis subsp. rhynchophylla,Oleaceae
Olea europaea,Oleaceae
Macroptilium bracteatum,Fabaceae
Desmodium scorpiurus,Fabaceae
Pyrenacantha,Icacinaceae
Saccharum sp.,Poaceae
Saccharum sinense,Poaceae
Digitaria setigera,Poaceae
Dolichos,Fabaceae
Artemisia carvifolia,Asteraceae
Ipomoea indica,Convolvulaceae
Abrus precatorius,Fabaceae
Trifolium repens,Fabaceae
Medicago arborea,Fabaceae
Gossypium arboreum,Malvaceae
Malvaviscus arboreus,Malvaceae
Pseuderanthemum reticulatum,Acanthaceae
Malva sylvestris,Malvaceae
Piper nigrum,Piperaceae
Albizia lebbeck,Fabaceae
Ipomoea triloba,Convolvulaceae
Anadenanthera colubrina,Fabaceae
Macroptilium erythroloma,Fabaceae
Gaillardia aristata,Asteraceae
Raphanus raphanistrum,Brassicaceae
Ficus virens,Moraceae
Capsicum chinense,Solanaceae
Amaranthus,Amaranthaceae
Cineraria,Asteraceae
Impatiens balsamina,Balsaminaceae
Amaranthus retroflexus,Amaranthaceae
Camellia oleifera,Theaceae
Jasminum sambac,Oleaceae
Vigna stipulacea,Fabaceae
Petroselinum crispum,Apiaceae
Digera muricata,Amaranthaceae
Camellia sinensis,Theaceae
Chenopodium album,Amaranthaceae
Alcea striata,Malvaceae
Volkameria inermis,Lamiaceae
Codiaeum variegatum,Euphorbiaceae
Populus alba,Salicaceae
Osteospermum fruticosum,Asteraceae
Sesamum indicum,Pedaliaceae
Momordica dioica,Cucurbitaceae
Physalis divaricata,Solanaceae
Citrus limon,Rutaceae
Markhamia zanzibarica,Bignoniaceae
Passiflora,Passifloraceae
Sidastrum micranthum,Malvaceae
Urena lobata,Malvaceae
Alternanthera sessilis,Amaranthaceae
Spermatophyta,This is a division
Cyamopsis tetragonoloba,Fabaceae
Physalis peruviana,Solanaceae
Solanum tuberosum,Solanaceae
Mirabilis jalapa,Nyctaginaceae
Sida spinosa,Malvaceae
Sonchus arvensis,Asteraceae
Solanum americanum,Solanaceae
Calotropis procera,Apocynaceae
Gossypium,Malvaceae
Amaranthus blitum,Amaranthaceae
Picrorhiza kurrooa,Plantaginaceae
Ocimum,Lamiaceae
Lactuca sativa,Asteraceae
Ludwigia perennis,Onagraceae
Abelmoschus manihot subsp. tetraphyllus,Malvaceae
Abelmoschus moschatus,Malvaceae
Abelmoschus manihot,Malvaceae
Secale cereale,Poaceae
Capsicum annuum var. glabriusculum,Solanaceae
Rumex nepalensis,Polygonaceae
Calendula officinalis,Asteraceae
Cucumis dipsaceus,Cucurbitaceae
Distimake dissectus,Convolvulaceae
Bougainvillea peruviana,Nyctaginaceae
Crambe hispanica subsp. abyssinica,Brassicaceae
Boehmeria nivea,Urticaceae
Brassica rapa subsp. chinensis,Brassicaceae
Jatropha multifida,Euphorbiaceae
Corchorus hirtus,Malvaceae
Cucumis melo var. saccharinus,Cucurbitaceae
Convolvulus arvensis,Convolvulaceae
Jatropha integerrima,Euphorbiaceae
Tagetes patula,Asteraceae
Zinnia elegans,Asteraceae
Ricinus communis,Euphorbiaceae
Ipomoea purpurea,Convolvulaceae
Vigna radiata var. radiata,Fabaceae
Gaillardia,Asteraceae
Papaver somniferum,Papaveraceae
Macroptilium atropurpureum,Fabaceae
Canavalia sp.,Fabaceae
Triticum,Poaceae
Tabernaemontana divaricata,Apocynaceae
Solanum capsicastrum,Solanaceae
Sauropus androgynus,Phyllanthaceae
Gossypium stocksii,Malvaceae
Gossypium tomentosum,Malvaceae
Phaseolus,Fabaceae
Amaranthus cruentus,Amaranthaceae
Sigesbeckia orientalis,Asteraceae
Gossypium gossypioides,Malvaceae
Gossypium harknessii,Malvaceae
Gossypium somalense,Malvaceae
Amaranthus hypochondriacus,Amaranthaceae
Gossypium lobatum,Malvaceae
Nicotiana glutinosa,Solanaceae
Crotalaria juncea,Fabaceae
Rhynchosia capitata,Fabaceae
Ehrharta calycina,Poaceae
Megathyrsus maximus,Poaceae
Urochloa deflexa,Poaceae
Megathyrsus trichocladum,Poaceae
Alternanthera philoxeroides,Amaranthaceae
Trichosanthes dioica,Cucurbitaceae
Corchorus capsularis,Malvaceae
Gossypium mustelinum,Malvaceae
Gossypium hirsutum var. punctatum,Malvaceae
Manihot glaziovii,Euphorbiaceae
Leucaena leucocephala,Fabaceae
Danthoniopsis petiolata,Poaceae
Lolium rigidum,Poaceae
Digitaria,Poaceae
Setaria grisebachii,Poaceae
Setaria barbata,Poaceae
Paspalum notatum,Poaceae
Cenchrus sp.,Poaceae
Setaria verticillata,Poaceae
Hibiscus sabdariffa,Malvaceae
Cenchrus myosuroides,Poaceae
Paspalum conjugatum,Poaceae
Urochloa plantaginea,Poaceae
Sonchus oleraceus,Asteraceae
Begonia,Begoniaceae
Torenia anagallis,Linderniaceae
Stachytarpheta,Verbenaceae
Sophora alopecuroides,Fabaceae
Vicia cracca,Fabaceae
Elettaria cardamomum,Zingiberaceae
Astragalus sinicus,Fabaceae
Musa sp.,Musaceae
Aa,Orchidaceae
Musa itinerans,Musaceae
Musa ABB Group,Musaceae
Musa acuminata AAA Group,Musaceae
Robinia pseudoacacia,Fabaceae
Musa,Musaceae
Anethum graveolens,Apiaceae
Allium sativum,Amaryllidaceae
Astragalus myriacanthus,Fabaceae
Glycyrrhiza glabra,Fabaceae
Musa acuminata,Musaceae
Musa balbisiana,Musaceae
Medicago lupulina,Fabaceae
Vicia sativa,Fabaceae
Oryza sp.,Poaceae
Opuntia echios var. echios,Cactaceae
Abutilon permolle,Malvaceae
Jacquemontia pentanthos,Convolvulaceae
unidentified plant,Cannot classify without more information
Limeum africanum,Molluginaceae
Exomis microphylla,Amaranthaceae
Juncus maritimus,Juncaceae
Polygala garcinii,Polygalaceae
Panicum virgatum,Poaceae
Axonopus compressus,Poaceae
Capraria biflora,Scrophulariaceae
Ruellia blechum,Acanthaceae
Sporobolus,Poaceae
Apis mellifera,Not plant
Nomia sp. (in: bees),Not plant
Dactylis glomerata,Poaceae
Spathoglottis,Orchidaceae
Cannabis sativa,Cannabaceae
Citrus,Rutaceae
Opuntia discolor,Cactaceae
Opuntia basilaris,Cactaceae
Cylindropuntia whipplei,Cactaceae
Opuntia auberi,Cactaceae
Opuntia,Cactaceae
Opuntia phaeacantha,Cactaceae
Opuntia microdasys,Cactaceae
Opuntia engelmannii var. linguiformis,Cactaceae
Opuntia engelmannii var. aciculata,Cactaceae
Opuntia santa-rita,Cactaceae
Opuntia engelmannii,Cactaceae
Coccoidea,Not plant
Lophocereus schottii,Cactaceae
Cylindropuntia,Cactaceae
Opuntia rufida,Cactaceae
Opuntia cespitosa,Cactaceae
Opuntia brasiliensis,Cactaceae
Opuntia robusta,Cactaceae
Opuntia mackensenii,Cactaceae
Opuntia aureispina,Cactaceae
Cylindropuntia arbuscula,Cactaceae
Leonurus japonicus,Lamiaceae
Ehrharta erecta,Poaceae
Saccharum spontaneum,Poaceae
Saccharum barberi,Poaceae
Digitaria sanguinalis,Poaceae
Megathyrsus infestus,Poaceae
Sclerochloa dura,Poaceae
Oplismenus burmannii,Poaceae
Digitaria horizontalis,Poaceae
Polypogon monspeliensis,Poaceae
Urochloa mosambicensis,Poaceae
Eleusine coracana,Poaceae
Urochloa,Poaceae
Senna tora,Fabaceae
Aster alpinus,Asteraceae
Solanum pimpinellifolium,Solanaceae
Aleyrodidae,Not plant
Caprifoliaceae,Caprifoliaceae
Asteraceae,Asteraceae
Cocos nucifera,Arecaceae
Actinidia,Actinidiaceae
Ageratum houstonianum,Asteraceae
Anthocercis ilicifolia,Solanaceae
Arachis hypogaea,Fabaceae
Arachis pintoi,Fabaceae
Asparagus officinalis,Asparagaceae
Atractylodes macrocephala,Asteraceae
Bacopa,Plantaginaceae
Calendula,Asteraceae
Castanea sativa,Fagaceae
Centaurea cyanus,Asteraceae
Chrysanthemum x morifolium,Asteraceae
Clematis,Ranunculaceae
Clematis vitalba,Ranunculaceae
Coleus amboinicus,Lamiaceae
Crataegus,Rosaceae
Cymbidium,Orchidaceae
Cynanchum rostellatum,Apocynaceae
Daucus carota subsp. carota,Apiaceae
Erythrina crista-galli,Fabaceae
Eucharis x grandiflora,Amaryllidaceae
Fragaria chiloensis,Rosaceae
Gerbera jamesonii,Asteraceae
Glycine soja,Fabaceae
Gomphrena globosa,Amaranthaceae
Gossypium barbadense,Malvaceae
Gynochthodes officinalis,Rubiaceae
Hyacinthoides,Asparagaceae
Hydrangea macrophylla,Hydrangeaceae
Impatiens,Balsaminaceae
Liatris spicata,Asteraceae
Ligustrum japonicum,Oleaceae
Malus domestica,Rosaceae
Malus sp.,Rosaceae
Malus sylvestris,Rosaceae
Mentha canadensis,Lamiaceae
Mercurialis annua,Euphorbiaceae
Musa x paradisiaca,Musaceae
Origanum vulgare,Lamiaceae
Physalis,Solanaceae
Pinellia ternata,Araceae
Prunus,Rosaceae
Prunus avium,Rosaceae
Prunus cerasifera,Rosaceae
Prunus persica,Rosaceae
Pseudostellaria heterophylla,Caryophyllaceae
Pyrus communis,Rosaceae
Rosa chinensis,Rosaceae
Rubus,Rosaceae
Rubus occidentalis,Rosaceae
Rudbeckia,Asteraceae
Rudbeckia hirta var. pulcherrima,Asteraceae
Salvia sclarea,Lamiaceae
Sarracenia,Sarraceniaceae
Scopolia carniolica,Solanaceae
Silene latifolia,Caryophyllaceae
Smallanthus sonchifolius,Asteraceae
Solanum muricatum,Solanaceae
Solanum quitoense,Solanaceae
Solanum villosum,Solanaceae
Syringa vulgaris,Oleaceae
Ulmus glabra,Ulmaceae
Vaccinium,Ericaceae
Viburnum lentago,Adoxaceae
Zanthoxylum armatum,Rutaceae
Arctium lappa,Asteraceae
Tetragonia tetragonoides,Aizoaceae
Chenopodium quinoa,Amaranthaceae
Pistacia vera,Anacardiaceae
Cordyline fruticosa,Asparagaceae
Arracacia xanthorrhiza,Apiaceae
Ribes nigrum,Grossulariaceae
Ribes rubrum,Grossulariaceae
Mentha,Lamiaceae
Diodia,Rubiaceae
Papaveraceae,Papaveraceae
Dypsis lutescens,Arecaceae
Rosa multiflora,Rosaceae
Dianthus caryophyllus,Caryophyllaceae
Vaccinium corymbosum,Ericaceae
Fragaria vesca,Rosaceae
Solanum tuberosum subsp. andigenum,Solanaceae
Fragaria x ananassa,Rosaceae
Nicotiana clevelandii,Solanaceae
Areca catechu,Arecaceae
Prunus domestica,Rosaceae
Ananas comosus,Bromeliaceae
Prunus dulcis,Rosaceae
Citrus sinensis,Rutaceae
Persea lingue,Lauraceae
Calopogonium mucunoides,Fabaceae
Morus alba,Moraceae
Vitis aestivalis,Vitaceae
Pueraria montana var. lobata,Fabaceae
Thesium chinense,Santalaceae
Agapanthus,Amaryllidaceae
Ficus carica,Moraceae
Prunus armeniaca,Rosaceae
Solanum phureja,Solanaceae
Prunus serrulata,Rosaceae
Citrus reticulata,Rutaceae
Citrus x latifolia,Rutaceae
Bombyx mori,Not Plant
Varroa destructor,Not Plant
Culex,Not Plant
Culex quinquefasciatus,Not Plant
Asclepias viridis,Apocynaceae
Nemesia fruticans,Scrophulariaceae
Diascia,Scrophulariaceae
Styphnolobium japonicum,Fabaceae
Vitis cinerea var. helleri x Vitis riparia,Vitaceae
Valeriana jatamansi,Valerianaceae
Atropa belladonna,Solanaceae
Erysimum,Brassicaceae
Hippophae rhamnoides,Elaeagnaceae
Passiflora edulis f. edulis,Passifloraceae
Solanum violifolium,Solanaceae
Trifolium pratense,Fabaceae
Jasminum multiflorum,Oleaceae
Sambucus nigra,Adoxaceae
Adonis ramosa,Ranunculaceae
Malus pumila,Rosaceae
Gompholobium preissii,Fabaceae
Tulipa fosteriana,Liliaceae
Pelargonium,Geraniaceae
Dioscorea cayenensis subsp. rotundata,Dioscoreaceae
Paspalum setaceum,Poaceae
Furcraea,Asparagaceae
Rosa rugosa,Rosaceae
Lupinus nootkatensis,Fabaceae
Angelonia angustifolia,Plantaginaceae
Pelargonium zonale,Geraniaceae
Adenium obesum,Apocynaceae
Solanum virginianum,Solanaceae
Alliaria petiolata,Brassicaceae
Quercus aliena,Fagaceae
Echinacea purpurea,Asteraceae
Gypsophila,Caryophyllaceae
Cucumis,Cucurbitaceae
Trifolium subterraneum,Fabaceae
Kalanchoe,Crassulaceae
Pelargonium x hortorum,Geraniaceae
Prunus humilis,Rosaceae
Hordeum vulgare subsp. vulgare,Poaceae
Ixora coccinea,Rubiaceae
Hordeum vulgare var. hexastichon,Poaceae
Petunia x hybrida,Solanaceae
Dioscorea,Dioscoreaceae
Prunus cerasus,Rosaceae
Prunus incisa,Rosaceae
Prunus mume,Rosaceae
Prunus mahaleb,Rosaceae
Gymnocalycium mihanovichii,Cactaceae
Calibrachoa,Solanaceae
Paris polyphylla var. yunnanensis,Melanthiaceae
Prunus persica f. compressa,Rosaceae
Limonium sinuatum,Plumbaginaceae
Erigeron annuus,Asteraceae
Zingiber officinale,Zingiberaceae
Avena strigosa,Poaceae
Festuca pratensis,Poaceae
Avena sp.,Poaceae
Clematis sp.,Ranunculaceae
Jasminum laurifolium f. nitidum,Oleaceae
Valerianella locusta,Valerianaceae
Bromus secalinus,Poaceae
Goniolimon tataricum,Plumbaginaceae
Achyranthes aspera,Amaranthaceae
Actinidia chinensis,Actinidiaceae
Alstroemeria,Alstroemeriaceae
Anthocercis littorea,Solanaceae
Brassica napus,Brassicaceae
Brassica rapa subsp. pekinensis,Brassicaceae
Brugmansia x candida,Solanaceae
Cactaceae,Cactaceae
Capsicum baccatum,Solanaceae
Chelidonium majus,Papaveraceae
Clitoria ternatea,Fabaceae
Columnea,Gesneriaceae
Crossandra infundibuliformis,Acanthaceae
Disocactus flagelliformis,Cactaceae
Drakaea livida,Orchidaceae
Ecballium elaterium,Cucurbitaceae
Eriobotrya japonica,Rosaceae
Eutrema japonicum,Brassicaceae
Gentiana triflora,Gentianaceae
Hevea brasiliensis,Euphorbiaceae
Hoya kerrii,Apocynaceae
Hoya macgillivrayi,Rutaceae
Hoya wayetii,Apocynaceae
Kitagawia praeruptora,Apiaceae
Lantana camara,Verbenaceae
Nicotiana glauca,Solanaceae
Opuntia albicarpa (nom. inval.),Cactaceae
Opuntia ficus-indica,Cactaceae
Opuntia leucotricha,Cactaceae
Opuntia parviclada,Cactaceae
Passiflora incarnata,Passifloraceae
Piper,Piperaceae
Plantago,Plantaginaceae
Plantago major,Plantaginaceae
Plumeria rubra,Apocynaceae
Pyrus,Rosaceae
Rehmannia,Orobanchaceae
Rehmannia glutinosa,Orobanchaceae
Rubus clinocephalus,Rosaceae
Rubus glaucus,Rosaceae
Rubus idaeus,Rosaceae
Scopolia japonica,Solanaceae
Selenicereus monacanthus,Cactaceae
Solanum macrocarpon,Solanaceae
Solanum viarum,Solanaceae
Stellaria media,Caryophyllaceae
Streptocarpus sect. Saintpaulia,Gesneriaceae
Trichosanthes kirilowii,Cucurbitaceae
Triticum turgidum subsp. durum,Poaceae
Solanum nodiflorum,Solanaceae
Cymbidium goeringii,Orchidaceae
Artemisia annua,Asteraceae
Brassica napus subsp. rapifera,Brassicaceae
Nicotiana velutina,Solanaceae
Imperata cylindrica,Poaceae
Viola philippica,Violaceae
Theobroma cacao,Malvaceae
Phytolacca americana,Phytolaccaceae
Coriandrum sativum,Apiaceae
Cnidium officinale,Apiaceae
Myosoton aquaticum,Caryophyllaceae
Saussurea lyrata,Asteraceae
Cymbidium kanran,Orchidaceae
Mimosa sensitiva,Fabaceae
Scutellaria baicalensis,Lamiaceae
Brugmansia suaveolens,Solanaceae
Stephanotis volubilis,Apocynaceae
Citrus medica,Rutaceae
Oryza longistaminata,Poaceae
Plantago asiatica,Plantaginaceae
Lolium multiflorum,Poaceae
Artemisia princeps,Asteraceae
Scrophularia buergeriana,Scrophulariaceae
Miscanthus sinensis,Poaceae
Diospyros kaki,Ebenaceae
Citrus unshiu,Rutaceae
Citrus junos,Rutaceae
Cymbidium tortisepalum,Orchidaceae
Brassica nigra,Brassicaceae
Saccharum hybrid cultivar Co 86032,Poaceae
Brassica rapa subsp. oleifera,Brassicaceae
Saccharum hybrid cultivar H50-7209,Poaceae
Camellia,Theaceae
Campanula takesimana,Campanulaceae
Olea,Oleaceae
Dichopogon strictus,Asparagaceae
Vitis coignetiae,Vitaceae
Alkekengi officinarum,Solanaceae
Allium,Amaryllidaceae
Allium chinense,Amaryllidaceae
Allium fistulosum,Amaryllidaceae
Alternanthera ficoidea,Amaranthaceae
Amaranthus deflexus,Amaranthaceae
Amorphophallus konjac,Araceae
Angelica keiskei,Apiaceae
Anredera cordifolia,Basellaceae
Apium graveolens,Apiaceae
Caladenia latifolia,Orchidaceae
Callistephus chinensis,Asteraceae
Canna,Cannaceae
Cyrtanthus elatus,Amaryllidaceae
Daphne mezereum,Thymelaeaceae
Daphne odora,Thymelaeaceae
Dendrobium smillieae,Orchidaceae
Dioscorea polystachya,Dioscoreaceae
Dioscorea trifida,Dioscoreaceae
Diuris corymbosa,Orchidaceae
Freesia,Iridaceae
Fritillaria thunbergii,Liliaceae
Gladiolus,Iridaceae
Habenaria radiata,Orchidaceae
Hardenbergia comptoniana,Fabaceae
Helianthus annuus,Asteraceae
Hibbertia scandens,Dilleniaceae
Hippeastrum sp.,Amaryllidaceae
Hyacinthus orientalis,Asparagaceae
Iris,Iridaceae
Iris japonica,Iridaceae
Jasminum,Oleaceae
Lilium,Liliaceae
Lupinus polyphyllus,Fabaceae
Narcissus,Amaryllidaceae
Narcissus tazetta,Amaryllidaceae
Narcissus tazetta subsp. chinensis,Amaryllidaceae
Pachyrhizus erosus,Fabaceae
Panax notoginseng,Araliaceae
Paris polyphylla,Melanthiaceae
Passiflora foetida,Passifloraceae
Platycodon grandiflorus,Campanulaceae
Rosa hybrid cultivar,Rosaceae
Solanum betaceum,Solanaceae
Spiranthes cernua,Orchidaceae
Telosma cordata,Apocynaceae
Vigna trilobata,Fabaceae
Wisteria,Fabaceae
Zantedeschia,Araceae
Zantedeschia aethiopica,Araceae
Fragaria x ananassa,Rosaceae
Arachis,Fabaceae
Arachis,Fabaceae
